place	lat	long	title	date
CARNOUSTIE	56.5014	-2.7090	Putter Tourney Opens To-Day	1950-01-05
ARBROATH	56.5623	-2.5841	Putter Tourney Opens To-Day	1950-01-05
Broughty Ferry	56.4674	-2.8761	CURLING.	1950-01-05
Arbroath	56.5623	-2.5841	CURLING.	1950-01-05
Pearsie	56.7216	-3.0388	CURLING.	1950-01-05
Glamis	56.6084	-3.0038	CURLING.	1950-01-05
Kirriemuir	56.6731	-3.0045	FORMER KIRRIEMUIR BAILIE DEAD	1950-01-05
Montrose	56.7092	-2.4672	FORMER KIRRIEMUIR BAILIE DEAD	1950-01-05
Dundee	56.4584	-2.9737	FORMER KIRRIEMUIR BAILIE DEAD	1950-01-05
Longforgan	56.4575	-3.1177	FORMER KIRRIEMUIR BAILIE DEAD	1950-01-05
Tayport	56.4465	-2.8800	FORMER KIRRIEMUIR BAILIE DEAD	1950-01-05
Brook Street	56.4614	-2.9873	FORMER KIRRIEMUIR BAILIE DEAD	1950-01-05
Arbroath	56.5623	-2.5841	TO-DAY'S BURGESS	1950-01-05
Arbroath	56.5623	-2.5841	M.B.E. FOR FORMER SANITARY INSPECTOR	1950-01-05
71 Sunnybrae Terrace	56.4877	-2.9934	Half-Hour Hitch At Fife Wedding	1950-01-05
Forfar	56.6441	-2.8890	FORFAR MAY GET HALF A SCHOOL	1950-01-05
Glamis Road	56.6672	-3.0045	FORFAR MAY GET HALF A SCHOOL	1950-01-05
194 Blackness Road	56.4607	-3.0034	DUNDEE WOMAN FALLS THREE STOREYS	1950-01-05
Dundee	56.4584	-2.9737	DUNDEE WOMAN FALLS THREE STOREYS	1950-01-05
Dundee	56.4584	-2.9737	GALE COULDN'T STOP DUNDEE PROFIT RECORD	1950-01-05
Broughty Ferry	56.4674	-2.8761	A Hypnotist's Dream Girl	1950-01-05
499 Strathmartine Road	56.5001	-3.0074	A Hypnotist's Dream Girl	1950-01-05
Wellgate	56.5622	-2.5894	FIFE MAN LEADS IN DRAUGHTS SEMI	1950-01-05
Dundee	56.4584	-2.9737	FIFE MAN LEADS IN DRAUGHTS SEMI	1950-01-05
Eassie	56.6113	-3.0673	Riverside Park Ideal	1950-01-05
Forfar	56.6441	-2.8890	DEPT. TELLS WHERE HOUSES ARE NEEDED	1950-01-05
Dundee	56.4584	-2.9737	DROP IN PRICE OF TAY SPRATS	1950-01-05
137 Garry Place	56.4864	-2.9986	HOUSEBREAKER GETS FOUR MONTHS IN PRISON	1950-01-05
Dundee	56.4584	-2.9737	HOUSEBREAKER GETS FOUR MONTHS IN PRISON	1950-01-05
Hilltown	56.4690	-2.9746	HOUSEBREAKER GETS FOUR MONTHS IN PRISON	1950-01-05
466 Strathmartine Road	56.5049	-3.0142	HOUSEBREAKER GETS FOUR MONTHS IN PRISON	1950-01-05
Princes Street	56.5568	-2.5931	SIX MONTHS FOR STATION THEFT	1950-01-05
Montrose	56.7092	-2.4672	MONTROSE BRIDE FOR BRECHIN MAN	1950-01-05
Brechin	56.7322	-2.6603	MONTROSE BRIDE FOR BRECHIN MAN	1950-01-05
Brechin	56.7322	-2.6603	6000 LIMIT FOR BRECHIN TIE	1950-01-05
19 St David Street	56.7321	-2.6611	6000 LIMIT FOR BRECHIN TIE	1950-01-05
Lindsay Street	56.4700	-2.8728	HOCKEY TEAM FOR SOUTH AFRICA	1950-01-05
BRECHIN	56.7322	-2.6603	HOCKEY TEAM FOR SOUTH AFRICA	1950-01-05
Arbroath	56.5623	-2.5841	ANCHORAGE SET PACE AT ARBROATH	1950-01-05
Arbroath	56.5623	-2.5841	No Rest For The Men With The Liniment	1950-01-05
Forfar	56.6441	-2.8890	No Rest For The Men With The Liniment	1950-01-05
Tannadice	56.7124	-2.8591	CRUICKSHANK OUT OF ACTION	1950-01-05
Tannadice	56.7124	-2.8591	They Couldn't Stay Away!	1950-01-05
Dundee	56.4584	-2.9737	They Couldn't Stay Away!	1950-01-05
Monifieth	56.4831	-2.8161	Ex-Loon For Southampton	1950-01-05
Forfar	56.6441	-2.8890	Ex-Loon For Southampton	1950-01-05
Station Park	56.8286	-2.2852	Ex-Loon For Southampton	1950-01-05
Brechin	56.7322	-2.6603	Ex-Loon For Southampton	1950-01-05
Arbroath	56.5623	-2.5841	Ex-Loon For Southampton	1950-01-05
Montrose	56.7092	-2.4672	Ex-Loon For Southampton	1950-01-05
Craigie	56.4777	-2.9307	MOVE FOR SCOTS FAT STOCK SHOW	1950-01-05
Craigie Avenue	56.4707	-2.9285	DUNDEE BRIDE CHOOSES BLUE	1950-01-05
Tayport	56.4465	-2.8800	DUNDEE BRIDE CHOOSES BLUE	1950-01-05
Dundee	56.4584	-2.9737	A WATCHING BRIEF	1950-01-06
DUNDEE	56.4584	-2.9737	A WATCHING BRIEF	1950-01-06
Arbroath	56.5623	-2.5841	MONTROSE BURGHS MP. HONOURED	1950-01-06
33 Forfar Road	56.4847	-2.9514		1950-01-06
Dundee	56.4584	-2.9737		1950-01-06
Broughty Ferry	56.4674	-2.8761		1950-01-06
Barnhill	56.4747	-2.8575		1950-01-06
Dundee	56.4584	-2.9737	A Dundee University The Only Solution	1950-01-06
2 Holly Road	56.4724	-2.8640	RUBBING IT IN	1950-01-06
Carnoustie	56.5014	-2.7090	STOLEN HENS EATEN	1950-01-06
31 Barry Road	56.5000	-2.7355	STOLEN HENS EATEN	1950-01-06
Montrose	56.7092	-2.4672	Ministry Told: Do Your Job	1950-01-06
164 Lochee Road	56.4646	-2.9929	DUNDEE MAN DIES IN CALCUTTA	1950-01-06
Arbroath	56.5623	-2.5841	ARBROATH SPIRIT OF INDEPENDENCE	1950-01-06
Forfar	56.6441	-2.8890	ARBROATH SPIRIT OF INDEPENDENCE	1950-01-06
Brechin	56.7322	-2.6603	ARBROATH SPIRIT OF INDEPENDENCE	1950-01-06
Montrose	56.7092	-2.4672	ARBROATH SPIRIT OF INDEPENDENCE	1950-01-06
Inverbervie	56.8447	-2.2798	ARBROATH SPIRIT OF INDEPENDENCE	1950-01-06
Monifieth	56.4831	-2.8161	ARBROATH SPIRIT OF INDEPENDENCE	1950-01-06
20 Gilmour Place	56.4690	-3.0123		1950-01-06
Ancrum Road	56.4687	-3.0084		1950-01-06
Arbroath	56.5623	-2.5841	DUNDEE CHEMIST GETS COLLEGE POST	1950-01-06
Dundee	56.4584	-2.9737	DUNDEE CHEMIST GETS COLLEGE POST	1950-01-06
Arbroath	56.5623	-2.5841	Perth Club Sign A Yank	1950-01-06
Invergowrie	56.4596	-3.0621	MIDLANDS AMATEUR CUP HOPES	1950-01-06
Broughty Ferry Road	56.4685	-2.9325	RAVEN'S FATHER SAYS HE HAS NEW EVIDENCE	1950-01-06
Clova	56.8441	-3.1045	GLENDOLL HOUSE TO BE YOUTH HOSTEL	1950-01-06
Montrose	56.7092	-2.4672	Plane Missing On Training Flight	1950-01-06
Carnoustie	56.5014	-2.7090	OFF TO TEA IN ASSAM	1950-01-06
Ferrier Street	56.4993	-2.7133	OFF TO TEA IN ASSAM	1950-01-06
Broughty Ferry	56.4674	-2.8761	FLORIST GETS ULTIMATUM IN WIDOW'S CLAIM	1950-01-06
Dundee	56.4584	-2.9737	Key Workers' Homes: Inquiry Demand Fails	1950-01-06
Cardross Street	56.4781	-2.9664	Key Workers' Homes: Inquiry Demand Fails	1950-01-06
Dundee	56.4584	-2.9737	POPULAR DUNDEE LECTURES	1950-01-06
76 Balfour Street	56.4584	-2.9830	WOUNDED WOMAN OUT OF HOSPITAL	1950-01-06
Dundee	56.4584	-2.9737	THE LADY IN WHITE	1950-01-06
48 Albert Street	56.4703	-2.9574	TENANT'S APPEAL FAILS	1950-01-06
Dundee	56.4584	-2.9737	TENANT'S APPEAL FAILS	1950-01-06
Forfar	56.6441	-2.8890	SHERIFF TURNS DOWN AGENT'S OBJECTION	1950-01-06
Kirriemuir	56.6731	-3.0045	MAN CLEARED OF ANGUS THEFT CHARGE	1950-01-06
31 Rose Street	56.4469	-2.8779	PROPERTY REPAIR CHARGE FAILS	1950-01-06
43 Larch Street	56.4606	-2.9877	PROPERTY REPAIR CHARGE FAILS	1950-01-06
Broughty Ferry	56.4674	-2.8761	Housewives Tired Of Bulk Buying	1950-01-06
Dundee	56.4584	-2.9737	Housewives Tired Of Bulk Buying	1950-01-06
Elliot Road	56.4619	-3.0197	RUGBY TEAMS	1950-01-06
Station Park	56.8286	-2.2852	RUGBY TEAMS	1950-01-06
Forfar	56.6441	-2.8890	RUGBY TEAMS	1950-01-06
DUNDEE	56.4584	-2.9737	Glasgow Stock Prices	1950-01-06
Arbroath	56.5623	-2.5841	SHIPPING MOVEMENTS.	1950-01-06
Glamis	56.6084	-3.0038	SHIPPING MOVEMENTS.	1950-01-06
Clova	56.8441	-3.1045	SHIPPING MOVEMENTS.	1950-01-06
Millhill	56.4797	-2.8328	GIVE PUBLIC MORE BEEF, FARMERS TOLD	1950-01-06
High Street	56.4398	-2.9417	Ail-Night Wait For £1 Coats	1950-01-06
Crichton Street	56.4597	-2.9695	Ail-Night Wait For £1 Coats	1950-01-06
Dundee	56.4584	-2.9737		1950-01-06
Elliot Road	56.4619	-3.0197	"Derby" Day In Midlands	1950-01-06
Brechin	56.7322	-2.6603	BLAIR-RENTON REPLAY NEXT WEEK	1950-01-06
FORFAR	56.6441	-2.8890	BLAIR-RENTON REPLAY NEXT WEEK	1950-01-06
EAST END	56.8287	-2.2822	BLAIR-RENTON REPLAY NEXT WEEK	1950-01-06
Dundee	56.4584	-2.9737	Raith Sign George Johnstone-May Lose Joyner To-Day	1950-01-06
Dundee	56.4584	-2.9737	S.F.A. Agree But Say It's Up To League	1950-01-06
Montrose	56.7092	-2.4672	S.F.A. Agree But Say It's Up To League	1950-01-06
Tannadice	56.7124	-2.8591	S.F.A. Agree But Say It's Up To League	1950-01-06
Brechin	56.7322	-2.6603	S.F.A. Agree But Say It's Up To League	1950-01-06
Montrose	56.7092	-2.4672	DON EMERY TO LEAD DONS	1950-01-06
Dundee	56.4584	-2.9737	THIRTEEN HEARTS WILL TRAVEL	1950-01-06
Arbroath	56.5623	-2.5841	THIRTEEN HEARTS WILL TRAVEL	1950-01-06
Rosemount	56.6424	-2.8898	PAGEANT AT BLAIR DANCE	1950-01-06
22 Wellington Park	56.7148	-2.4590	WELL-KNOWN ANGUS FARMER DEAD	1950-01-06
Montrose	56.7092	-2.4672	WELL-KNOWN ANGUS FARMER DEAD	1950-01-06
Craigo	56.7699	-2.5110	WELL-KNOWN ANGUS FARMER DEAD	1950-01-06
DUNDEE	56.4584	-2.9737	DANGEROUS DIPLOMACY	1950-01-07
Dundee	56.4584	-2.9737		1950-01-07
Broughty Ferry	56.4674	-2.8761	BROUGHTY HAS ENOUGH BUTCHERS	1950-01-07
28 Fort Street	56.4674	-2.8761	BROUGHTY HAS ENOUGH BUTCHERS	1950-01-07
Kingsway	56.4827	-2.9706	BROUGHTY HAS ENOUGH BUTCHERS	1950-01-07
West Port	56.4595	-2.9788	BROUGHTY HAS ENOUGH BUTCHERS	1950-01-07
145 Pitkerro Road	56.4792	-2.9430	BROUGHTY HAS ENOUGH BUTCHERS	1950-01-07
13 Morgan Street	56.4708	-2.9548	Hypnotic High Jinks	1950-01-07
Dundee	56.4584	-2.9737	Hypnotic High Jinks	1950-01-07
Montrose	56.7092	-2.4672	200 Guests Greeted In Tartan Lounge	1950-01-07
Broughty Ferry	56.4674	-2.8761		1950-01-07
Brechin	56.7322	-2.6603		1950-01-07
Arbroath	56.5623	-2.5841		1950-01-07
Arbroath	56.5623	-2.5841	DRAMA FINALS TO BE HELD IN ABERDEEN	1950-01-07
Elgin Street	56.4831	-2.9829	BADMINTON RESULTS	1950-01-07
Montrose	56.7092	-2.4672		1950-01-07
Dundee	56.4584	-2.9737		1950-01-07
Cortachy	56.7249	-2.9922	KIRRIE EDUCATION OFFICIALS	1950-01-07
Clova	56.8441	-3.1045	KIRRIE EDUCATION OFFICIALS	1950-01-07
Padanaram	56.6513	-2.9345	KIRRIE EDUCATION OFFICIALS	1950-01-07
Carnoustie	56.5014	-2.7090	DUNDEE ESTATES	1950-01-07
103 High Street	56.4610	-2.9692	Leslie Club May Be Oldest	1950-01-07
3 Drummond Street	56.4673	-2.9815	Leslie Club May Be Oldest	1950-01-07
Dundee	56.4584	-2.9737	Leslie Club May Be Oldest	1950-01-07
30 Argyle Street	56.4768	-2.9561	DUNDEE FIRM DIRECTOR DEAD	1950-01-07
2 Norwood Terrace	56.4589	-3.0140	DUNDEE FIRM DIRECTOR DEAD	1950-01-07
Dundee	56.4584	-2.9737	DUNDEE FIRM DIRECTOR DEAD	1950-01-07
Barnhill	56.4747	-2.8575	Bus Company Wins Appeal	1950-01-07
Arbroath	56.5623	-2.5841	Arbroath Hotel Fire Damage	1950-01-07
Dundee	56.4584	-2.9737	DUNDEE FISHERMAN GETS SIX MONTHS	1950-01-07
Dundee	56.4584	-2.9737		1950-01-07
Dundee	56.4584	-2.9737	Veterans Will Fight It Out With Ploughs	1950-01-07
Craigie	56.4777	-2.9307	Veterans Will Fight It Out With Ploughs	1950-01-07
Monikie	56.5335	-2.8134	Veterans Will Fight It Out With Ploughs	1950-01-07
Maryton	56.6667	-2.9891	Veterans Will Fight It Out With Ploughs	1950-01-07
Kirriemuir	56.6731	-3.0045	Veterans Will Fight It Out With Ploughs	1950-01-07
Tealing	56.5336	-2.9631	Veterans Will Fight It Out With Ploughs	1950-01-07
Glamis	56.6084	-3.0038	Veterans Will Fight It Out With Ploughs	1950-01-07
MONTROSE	56.7092	-2.4672	BRITISH BANKS' DIVIDENDS	1950-01-07
Montrose	56.7092	-2.4672	BRITISH BANKS' DIVIDENDS	1950-01-07
105 East High Street	56.6452	-2.8835	BRITISH BANKS' DIVIDENDS	1950-01-07
99 East High Street	56.6452	-2.8835	BRITISH BANKS' DIVIDENDS	1950-01-07
Brechin	56.7322	-2.6603	BRITISH BANKS' DIVIDENDS	1950-01-07
Forfar	56.6441	-2.8890	BRITISH BANKS' DIVIDENDS	1950-01-07
Logie	56.7618	-2.4938	BRITISH BANKS' DIVIDENDS	1950-01-07
56 Reform Street	56.4614	-2.9712	BRITISH BANKS' DIVIDENDS	1950-01-07
Dundee	56.4584	-2.9737	BRITISH BANKS' DIVIDENDS	1950-01-07
DUNDEE	56.4584	-2.9737	Glasgow Stock Prices	1950-01-07
Dundee	56.4584	-2.9737	Glasgow Stock Prices	1950-01-07
Glamis	56.6084	-3.0038	SHIPPING MOVEMENTS.	1950-01-07
160 Ann Street	56.4683	-2.9695	Tulips Grow In Frig.	1950-01-07
Montrose	56.7092	-2.4672	SUPPLIED OWN SUPPERS	1950-01-07
Dundee	56.4584	-2.9737	TOURING CURLERSDUNDEE PROGRAMME	1950-01-07
Balruddery	56.4723	-3.1148	TOURING CURLERSDUNDEE PROGRAMME	1950-01-07
Dundee	56.4584	-2.9737	Two Home Wins—and the League Is Wide Open	1950-01-07
Johnshaven	56.7945	-2.3365	Two Home Wins—and the League Is Wide Open	1950-01-07
Arbroath	56.5623	-2.5841	FIFE JUNIOR ON UNITED WING	1950-01-07
BRECHIN	56.7322	-2.6603	TO DAY'S GAMES AND REFEREES	1950-01-07
14 Mossgiel Crescent	56.4809	-2.9417	FOOTBALL FAMILY LOSES FATHER	1950-01-07
Dundee	56.4584	-2.9737	FOOTBALL FAMILY LOSES FATHER	1950-01-07
Arbroath	56.5623	-2.5841	FOOTBALL FAMILY LOSES FATHER	1950-01-07
8 Forthill Road	56.4737	-2.8745	FORMER DUNDEE BANKERS DEAD	1950-01-07
Broughty Ferry	56.4674	-2.8761	FORMER DUNDEE BANKERS DEAD	1950-01-07
High Street	56.4827	-2.8167	FORMER DUNDEE BANKERS DEAD	1950-01-07
Reform Street	56.4614	-2.9712	FORMER DUNDEE BANKERS DEAD	1950-01-07
Hilltown	56.4690	-2.9746	FORMER DUNDEE BANKERS DEAD	1950-01-07
Wormit	56.4241	-2.9809	FORMER DUNDEE BANKERS DEAD	1950-01-07
Sidney Street	56.5641	-2.5801	PERTH MINISTER TO RETIRE	1950-01-07
Harley Street	56.4702	-2.8770	That Man From Canada	1950-01-07
DUNDEE	56.4584	-2.9737	COSTS AND CACKLE	1950-01-09
Letham	56.6288	-2.7696	ARMED ANGUS MEN GUARD FLOCKS	1950-01-09
8 Panmure Terrace	56.4739	-2.8505		1950-01-09
Montrose	56.7092	-2.4672		1950-01-09
Montrose	56.7092	-2.4672		1950-01-09
Brechin	56.7322	-2.6603	Swell Trip Say Curlers' Wives	1950-01-09
107 River Street	56.7253	-2.6514	Swell Trip Say Curlers' Wives	1950-01-09
CARNOUSTIE	56.5014	-2.7090	Swell Trip Say Curlers' Wives	1950-01-09
Carnoustie	56.5014	-2.7090	Swell Trip Say Curlers' Wives	1950-01-09
10 Park Avenue	56.5002	-2.7116		1950-01-09
Carnoustie	56.5014	-2.7090		1950-01-09
High Street	56.4398	-2.9417		1950-01-09
Dundee	56.4584	-2.9737		1950-01-09
26 Seafield Road	56.4736	-2.8782		1950-01-09
Monifieth	56.4831	-2.8161		1950-01-09
Broughty Ferry	56.4674	-2.8761		1950-01-09
Dundee	56.4584	-2.9737		1950-01-09
Barnhill	56.4747	-2.8575		1950-01-09
Arbroath	56.5623	-2.5841		1950-01-09
Auchmithie	56.5886	-2.5263		1950-01-09
Kinnaird	56.7076	-2.5983		1950-01-09
36 Collier Street	56.5020	-2.7149	CARNOUSTIE MAN HURT ON ROAD	1950-01-09
Carnoustie	56.5014	-2.7090	CARNOUSTIE MAN HURT ON ROAD	1950-01-09
Golf Street	56.4988	-2.7210	CARNOUSTIE MAN HURT ON ROAD	1950-01-09
Dundee	56.4584	-2.9737		1950-01-09
Balgillo Road	56.4788	-2.8702	CARS WRECKED IN CROSSROADS CRASH	1950-01-09
Arbirlot	56.5546	-2.6512	CARS WRECKED IN CROSSROADS CRASH	1950-01-09
Arbroath	56.5623	-2.5841	CARS WRECKED IN CROSSROADS CRASH	1950-01-09
Montrose	56.7092	-2.4672	SEARCH FOR MISSING PLANE	1950-01-09
Dundee	56.4584	-2.9737	DUNDEE PIPE-MAJOR'S VAIN JOURNEY	1950-01-09
Queen Street	56.7147	-2.4656	Wife Preached In Other Church	1950-01-09
Brechin	56.7322	-2.6603	MEARNS INDUCTION	1950-01-09
Elliot Road	56.4619	-3.0197	Scotland XV. Packs Scoring Punch	1950-01-09
South Street	56.5574	-2.5761	Schoolgirl Gains £10 Reward	1950-01-09
Montrose	56.7092	-2.4672	MONTROSE SEA CAPTAIN DEAD	1950-01-09
Arbroath	56.5623	-2.5841	ARBROATH BUSINESS MAN DEAD	1950-01-09
Arbroath	56.5623	-2.5841	QUICK SUCCESS FOR BANTAM OWNER	1950-01-09
Kirriemuir	56.6731	-3.0045	QUICK SUCCESS FOR BANTAM OWNER	1950-01-09
Gannochy	56.8256	-2.6576	SHIPPING MOVEMENTS.	1950-01-09
MONTROSE	56.7092	-2.4672	SHIPPING MOVEMENTS.	1950-01-09
Craigie	56.4777	-2.9307	UNBEATEN RECORDS BROKEN	1950-01-09
Arbroath	56.5623	-2.5841	UNBEATEN RECORDS BROKEN	1950-01-09
Forfar	56.6441	-2.8890	UNBEATEN RECORDS BROKEN	1950-01-09
Montrose	56.7092	-2.4672	UNBEATEN RECORDS BROKEN	1950-01-09
Brechin	56.7322	-2.6603	UNBEATEN RECORDS BROKEN	1950-01-09
Arbroath	56.5623	-2.5841	PROUD RECORD SMASHED	1950-01-09
Forfar	56.6441	-2.8890	PROUD RECORD SMASHED	1950-01-09
Montrose	56.7092	-2.4672	This Keeper Was Too Tough	1950-01-09
DUNDEE	56.4584	-2.9737	Hearts Beaten At Their Own Game	1950-01-09
